run_id,cycle,session,hypothesis_id,paradigm,parent_run,pushed_at,local_score,planning,unit,integration,cli,restart,push_decision,decision_reason,verdict,cost_h,manifest_path
20260717-022644-h-001,1,2026-07-17-m2-position-persistence,H-001,repository-backed-domain-model,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m2-position-persistence/runs/climb/20260717-022644-h-001/manifest.json
20260717-030140-h-002,2,2026-07-17-m2-position-persistence,H-002,durable-operation-receipts,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m2-position-persistence/runs/climb/20260717-030140-h-002/manifest.json
20260717-045843-h-003,3,2026-07-17-m2-position-persistence,H-003,exact-cash-ledger,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m2-position-persistence/runs/climb/20260717-045843-h-003/manifest.json
20260717-052429-h-004,4,2026-07-17-m2-position-persistence,H-004,dimension-safe-execution-ledger,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m2-position-persistence/runs/climb/20260717-052429-h-004/manifest.json
20260717-064120-h-005,5,2026-07-17-m2-position-persistence,H-005,durable-partial-fill-ledger,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m2-position-persistence/runs/climb/20260717-064120-h-005/manifest.json
20260717-074013-h-006,6,2026-07-17-m2-position-persistence,H-006,venue-truth-reconciliation,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m2-position-persistence/runs/climb/20260717-074013-h-006/manifest.json
20260718-114314-h-007,7,2026-07-18-m1-living-manual,H-007,living-doc-contract,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-living-manual/runs/climb/20260718-114314-h-007/manifest.json
20260718-185917-h-008,8,2026-07-18-m1-living-manual,H-008,opportunity-feed-chain-truth,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed; production evidence recorded,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/h008-opportunity-chain/runs/climb/20260718-185917-h-008/manifest.json
20260718-191126-h-008,9,2026-07-18-m1-living-manual,H-008,opportunity-feed-chain-truth,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed; production evidence recorded,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/h008-opportunity-chain/runs/climb/20260718-191126-h-008/manifest.json
20260720-100100-h-010,10,2026-07-20-m1-l3-prerequisite,H-010,l3-prerequisite-chain-truth,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/runs/climb/20260720-100100-h-010/manifest.json
20260811-183703-h-011,11,2026-07-31-m1-self-healing-structure,H-011,checkpointed-structure-recovery,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all bounded local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing-structure/runs/climb/20260811-183703-h-011/manifest.json
20260811-184042-h-009,12,2026-07-31-m1-self-healing-structure,H-009,opportunity-feed-cadence-sla,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all fixture-only local gates passed with normalized subscores,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing-structure/runs/climb/20260811-184042-h-009/manifest.json
20260815-171703-h-012,13,2026-07-31-m1-self-healing-structure,H-012,transactional-production-promotion,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing-structure/runs/climb/20260815-171703-h-012/manifest.json
20260823-115009-h-013,14,2026-07-31-m1-self-healing-structure,H-013,budgeted-transactional-cloud-input,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/runs/climb/20260823-115009-h-013/manifest.json
20260824-222226-h-014,15,2026-07-31-m1-self-healing-structure,H-014,event-driven-runtime-self-healing,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing/runs/climb/20260824-222226-h-014/manifest.json
20260825-021111-h-015,16,2026-07-31-m1-self-healing-structure,H-015,fenced-deadline-reconciler,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing/runs/climb/20260825-021111-h-015/manifest.json
20260825-053507-h-016,17,2026-07-31-m1-self-healing-structure,H-016,rolling-qualification-certificates,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing/runs/climb/20260825-053507-h-016/manifest.json
20260825-074318-h-017,18,2026-07-31-m1-self-healing-structure,H-017,bounded-operator-truth-surfaces,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing/runs/climb/20260825-074318-h-017/manifest.json
20260825-090136-h-018,19,2026-07-31-m1-self-healing-structure,H-018,deterministic-runtime-production-enablement,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing/runs/climb/20260825-090136-h-018/manifest.json
20260826-114829-h-018,20,2026-07-31-m1-self-healing-structure,H-018,deterministic-runtime-production-enablement,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing/runs/climb/20260826-114829-h-018/manifest.json
20260826-135855-h-018,21,2026-07-31-m1-self-healing-structure,H-018,deterministic-runtime-production-enablement,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing/runs/climb/20260826-135855-h-018/manifest.json
20260827-075919-h-019,22,2026-07-31-m1-self-healing-structure,H-019,deterministic-runtime-production-enablement,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing/runs/climb/20260827-075919-h-019/manifest.json
20260827-085048-h-020,23,2026-07-31-m1-self-healing-structure,H-020,deterministic-runtime-production-enablement,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing/runs/climb/20260827-085048-h-020/manifest.json
20260827-100730-h-021,24,2026-07-31-m1-self-healing-structure,H-021,deterministic-runtime-production-enablement,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing/runs/climb/20260827-100730-h-021/manifest.json
20260827-104319-h-022,25,2026-07-31-m1-self-healing-structure,H-022,deterministic-runtime-production-enablement,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing/runs/climb/20260827-104319-h-022/manifest.json
20260827-113937-h-023,26,2026-07-31-m1-self-healing-structure,H-023,deterministic-runtime-production-enablement,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing/runs/climb/20260827-113937-h-023/manifest.json
20260827-121528-h-024,27,2026-07-31-m1-self-healing-structure,H-024,deterministic-runtime-production-enablement,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing/runs/climb/20260827-121528-h-024/manifest.json
20260829-073105-h-025,28,2026-07-31-m1-self-healing-structure,H-025,fenced-deadline-reconciler,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing/runs/climb/20260829-073105-h-025/manifest.json
20260829-082202-h-026,29,2026-07-31-m1-self-healing-structure,H-026,fenced-deadline-reconciler,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing/runs/climb/20260829-082202-h-026/manifest.json
20260829-084621-h-027,30,2026-07-31-m1-self-healing-structure,H-027,fenced-deadline-reconciler,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing/runs/climb/20260829-084621-h-027/manifest.json
20260829-085242-h-028,31,2026-07-31-m1-self-healing-structure,H-028,fenced-deadline-reconciler,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing/runs/climb/20260829-085242-h-028/manifest.json
20260829-092338-h-029,32,2026-07-31-m1-self-healing-structure,H-029,fenced-deadline-reconciler,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing/runs/climb/20260829-092338-h-029/manifest.json
20260829-093503-h-030,33,2026-07-31-m1-self-healing-structure,H-030,fenced-deadline-reconciler,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing/runs/climb/20260829-093503-h-030/manifest.json
20260829-103017-h-031,34,2026-07-31-m1-self-healing-structure,H-031,fenced-deadline-reconciler,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing/runs/climb/20260829-103017-h-031/manifest.json
20260829-104600-h-032,35,2026-07-31-m1-self-healing-structure,H-032,fenced-deadline-reconciler,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing/runs/climb/20260829-104600-h-032/manifest.json
20260829-113048-h-033,36,2026-07-31-m1-self-healing-structure,H-033,fenced-deadline-reconciler,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing/runs/climb/20260829-113048-h-033/manifest.json
20260829-120923-h-034,37,2026-07-31-m1-self-healing-structure,H-034,fenced-deadline-reconciler,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing/runs/climb/20260829-120923-h-034/manifest.json
20260829-121031-h-035,38,2026-07-31-m1-self-healing-structure,H-035,fenced-deadline-reconciler,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing/runs/climb/20260829-121031-h-035/manifest.json
20260829-124527-h-036,39,2026-07-31-m1-self-healing-structure,H-036,fenced-deadline-reconciler,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing/runs/climb/20260829-124527-h-036/manifest.json
20260830-001603-h-037,40,2026-07-31-m1-self-healing-structure,H-037,event-driven-runtime-self-healing,,,80.0,100.0,100.0,100.0,100.0,0.0,SKIP,one or more local gates failed,falsified,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing/runs/climb/20260830-001603-h-037/manifest.json
20260830-002318-h-037,41,2026-07-31-m1-self-healing-structure,H-037,event-driven-runtime-self-healing,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing/runs/climb/20260830-002318-h-037/manifest.json
20260830-003638-h-038,42,2026-07-31-m1-self-healing-structure,H-038,event-driven-runtime-self-healing,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing/runs/climb/20260830-003638-h-038/manifest.json
20260830-004322-h-039,43,2026-07-31-m1-self-healing-structure,H-039,event-driven-runtime-self-healing,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing/runs/climb/20260830-004322-h-039/manifest.json
20260830-005952-h-040,44,2026-07-31-m1-self-healing-structure,H-040,deterministic-runtime-production-enablement,,,88.88888888888889,100.0,100.0,0.0,100.0,100.0,SKIP,one or more local gates failed,falsified,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing/runs/climb/20260830-005952-h-040/manifest.json
20260830-010934-h-040,45,2026-07-31-m1-self-healing-structure,H-040,deterministic-runtime-production-enablement,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing/runs/climb/20260830-010934-h-040/manifest.json
20260830-020206-h-041,46,2026-07-31-m1-self-healing-structure,H-041,deterministic-runtime-production-enablement,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing/runs/climb/20260830-020206-h-041/manifest.json
20260830-022416-h-042,47,2026-07-31-m1-self-healing-structure,H-042,deterministic-runtime-production-enablement,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing/runs/climb/20260830-022416-h-042/manifest.json
20260830-023811-h-043,48,2026-07-31-m1-self-healing-structure,H-043,deterministic-runtime-production-enablement,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing/runs/climb/20260830-023811-h-043/manifest.json
20260830-025150-h-044,49,2026-07-31-m1-self-healing-structure,H-044,deterministic-runtime-production-enablement,,,100.0,100.0,100.0,100.0,100.0,100.0,PUSH,all local gates passed,confirmed,0.0,/Users/sujiangwen/sandbox/hacker2026/PolyMarket/polymarket-arbitrage/.worktrees/m1-self-healing/runs/climb/20260830-025150-h-044/manifest.json
